country,year,decade,renewables_pct,fossil_pct,gdp_per_capita,log_gdp_per_capita,energy_consumption
Argentina,2004,2000,11.465,85.674,14177.337495947217,9.55940001771332,751.157
Argentina,2005,2000,12.032,85.629,15326.35586562346,9.637329230993481,796.367
Argentina,2006,2000,12.678,84.832,16462.94871530451,9.70886760249432,836.059
Argentina,2007,2000,10.024,87.741,17860.643216429755,9.790354868139758,869.076
Argentina,2008,2000,9.872,87.894,18482.946432517532,9.824603771475674,879.072
Argentina,2009,2000,11.193,86.267,17278.76003425984,9.757233282506741,852.154
Argentina,2010,2010,11.092,86.765,19031.485232979274,9.85385000416951,882.268
Argentina,2011,2010,10.412,87.749,20074.994600587986,9.907230269852933,907.376
Argentina,2012,2010,9.701,88.541,19665.88292127944,9.886640581965288,944.132
Argentina,2013,2010,10.134,88.284,19939.865807824644,9.900476313695021,1009.449
Argentina,2014,2010,10.396,88.183,19239.24833126554,9.86470765543498,993.008
Argentina,2015,2010,10.275,87.95,19558.765004245575,9.881178802753217,1009.992
Argentina,2016,2010,9.586,88.332,18967.27472563293,9.85047039028038,1005.722
Argentina,2017,2010,10.445,88.019,19330.852478560202,9.86945767255225,996.988
Argentina,2018,2010,10.824,87.432,18670.681862491343,9.834709757694858,986.055
Argentina,2019,2010,11.417,86.311,18167.465059611033,9.807387639253,925.658
Argentina,2020,2020,11.833,85.285,16281.97251148213,9.697813793856005,863.972
Argentina,2021,2020,10.947,86.394,17927.240654222624,9.79407665928604,948.187
Argentina,2022,2020,12.01,86.146,18827.43506335373,9.843070396937756,1001.241
Australia,1965,1960,5.252,94.748,16298.6969620635,9.698840442621703,425.76
Australia,1966,1960,4.787,95.213,16412.147612785353,9.705777047720103,446.102
Australia,1967,1960,4.671,95.329,17197.436666680496,9.752515620688373,473.093
Australia,1968,1960,4.591,95.409,17875.83874426029,9.79120528921719,501.694
Australia,1969,1960,4.8,95.2,18588.664492408854,9.830307238027757,522.428
Australia,1970,1970,5.115,94.885,19258.405950784694,9.86570291717016,570.102
Australia,1971,1970,5.494,94.506,19498.420777624924,9.87808875550949,598.808
Australia,1972,1970,5.283,94.717,19581.936184849834,9.88236279704086,626.095
Australia,1973,1970,5.274,94.726,20317.020298196076,9.919214252071585,669.356
Australia,1974,1970,5.622,94.378,20516.35877622062,9.928977835986425,711.901
Australia,1975,1970,5.946,94.054,20807.7773206656,9.943082105450001,723.9
Australia,1976,1970,5.469,94.531,21411.04029128999,9.971661969440685,749.088
Australia,1977,1970,4.973,95.027,21395.270420461533,9.970925168194341,785.969
Australia,1978,1970,5.198,94.802,21766.973571073744,9.988149126240064,811.221
Australia,1979,1970,4.874,95.126,22651.450365835517,10.027979162672827,841.291
Australia,1980,1980,4.587,95.413,22807.45840634806,10.034842884534882,844.247
Australia,1981,1980,4.651,95.349,23327.435643957106,10.057385442298546,857.794
Australia,1982,1980,4.375,95.625,22925.906257330927,10.040022827742707,849.919
Australia,1983,1980,4.173,95.827,22598.50919477796,10.025639218251769,841.572
Australia,1984,1980,4.354,95.646,23838.92593990789,10.079075067308162,871.355
Australia,1985,1980,4.492,95.508,24705.456826370573,10.114779422360481,896.293
Australia,1986,1980,4.44,95.56,24850.87554281738,10.120648264015466,912.411
Australia,1987,1980,4.201,95.799,25676.20653546271,10.153320026310467,937.538
Australia,1988,1980,4.302,95.698,26389.662255943436,10.1807276312322,981.314
Australia,1989,1980,4.101,95.899,27100.975543710545,10.207325004142781,1029.713
Australia,1990,1990,4.137,95.863,27100.802835217688,10.207318631344766,1051.079
Australia,1991,1990,4.394,95.606,26583.128885056358,10.188032041105131,1043.94
Australia,1992,1990,4.389,95.611,27273.686864639392,10.213677665257766,1060.42
Australia,1993,1990,4.407,95.593,28298.112940796105,10.250550400870843,1084.443
Australia,1994,1990,4.196,95.804,29501.059615867816,10.292181460864793,1125.552
Australia,1995,1990,4.002,95.998,30341.44395402352,10.320269844190063,1154.299
Australia,1996,1990,4.0,96.0,31398.855057154196,10.354526708083592,1188.137
Australia,1997,1990,3.914,96.086,32503.41484230862,10.38910043486918,1217.288
Australia,1998,1990,3.813,96.187,33945.93612589437,10.432524424081056,1246.33
Australia,1999,1990,3.786,96.214,35141.269245710464,10.467131480773206,1297.347
Australia,2000,2000,3.765,96.235,36171.97568719818,10.496039945715895,1305.26
Australia,2001,2000,3.655,96.345,36864.13249770029,10.514994338279255,1315.385
Australia,2002,2000,3.711,96.289,38124.62988358058,10.548615805890933,1341.745
Australia,2003,2000,3.797,96.203,39075.30382216983,10.573245930618882,1360.862
Australia,2004,2000,3.829,96.171,40395.341547096155,10.60646974906054,1404.444
Australia,2005,2000,4.095,95.905,41395.09693005343,10.630917721158603,1410.35
Australia,2006,2000,4.024,95.976,42091.05593532494,10.647590549008136,1470.838
Australia,2007,2000,3.786,96.214,43487.020465727124,10.68021779245435,1506.167
